"","Year","District","SchNum","GradNum","GradAboveNatAve","PercentTested","ACTScore"
"1",2010,"MILLER CAREER ACADEMY",1100,170,23,105.88,16.2
"2",2010,"GATEWAY HIGH",1220,255,37,68.63,17.1
"3",2010,"BEAUMONT HIGH",1250,191,6,55.5,14.7
"4",2010,"CLEVELAND NJROTC ACADEMY",1440,46,6,119.57,16
"5",2010,"CARNAHAN SCH. OF THE FUTURE",1500,72,8,105.56,15.2
"6",2010,"METRO HIGH",1560,72,67,104.17,24.9
"7",2010,"ROOSEVELT HIGH",1680,267,2,39.7,14.4
"8",2010,"SOLDAN INTERNATIONAL STUDIES",1730,152,22,103.95,16
"9",2010,"SUMNER HIGH",1800,160,2,63.13,14
"10",2010,"VASHON HIGH",1830,141,1,48.94,14.1
"11",2010,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,149,20,97.99,15.8
"12",2011,"MILLER CAREER ACADEMY",1100,156,25,99.36,16.8
"13",2011,"GATEWAY HIGH",1220,222,30,69.37,17.3
"14",2011,"BEAUMONT HIGH",1250,204,1,26.47,14.5
"15",2011,"CLEVELAND NJROTC ACADEMY",1440,49,14,104.08,17.3
"16",2011,"CARNAHAN SCH. OF THE FUTURE",1500,92,8,97.83,16.1
"17",2011,"METRO HIGH",1560,54,55,103.7,26.9
"18",2011,"ROOSEVELT HIGH",1680,317,6,42.9,14.5
"19",2011,"SOLDAN INTERNATIONAL STUDIES",1730,142,18,88.03,16.4
"20",2011,"SUMNER HIGH",1800,142,6,59.15,15.2
"21",2011,"VASHON HIGH",1830,188,3,37.77,15.1
"22",2011,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,163,17,85.89,16.7
"23",2012,"MILLER CAREER ACADEMY",1100,157,17,87.26,16.2
"24",2012,"GATEWAY HIGH",1220,254,32,79.92,17
"25",2012,"BEAUMONT CTE HIGH SCHOOL",1250,133,1,36.09,15.2
"26",2012,"CLEVELAND NJROTC ACADEMY",1440,44,6,93.18,16.1
"27",2012,"CARNAHAN SCH. OF THE FUTURE",1500,107,8,80.37,16
"28",2012,"TRANSPORTATION AND LAW",1540,84,0,46.43,14.3
"29",2012,"METRO HIGH",1560,69,70,105.8,26.3
"30",2012,"MCKINLEY CLASS. LEADERSHIP AC.",1570,23,16,91.3,23.3
"31",2012,"ROOSEVELT HIGH",1680,232,2,52.59,14.4
"32",2012,"SOLDAN INTERNATIONAL STUDIES",1730,168,14,83.33,16
"33",2012,"SUMNER HIGH",1800,164,4,56.71,14.4
"34",2012,"VASHON HIGH",1830,155,5,41.29,14.7
"35",2012,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,158,13,79.11,16
"36",2013,"MILLER CAREER ACADEMY",1100,181,11,100,16.5
"37",2013,"GATEWAY HIGH",1220,272,44,85.29,17
"38",2013,"BEAUMONT CTE HIGH SCHOOL",1250,62,1,48.39,15.4
"39",2013,"CLEVELAND NJROTC ACADEMY",1440,63,11,80.95,17.5
"40",2013,"CARNAHAN SCH. OF THE FUTURE",1500,82,6,78.05,16.5
"41",2013,"TRANSPORTATION AND LAW",1540,77,6,64.94,15.7
"42",2013,"METRO HIGH",1560,67,63,100,26.3
"43",2013,"MCKINLEY CLASS. LEADERSHIP AC.",1570,22,18,100,23.7
"44",2013,"ROOSEVELT HIGH",1680,216,6,53.7,14.6
"45",2013,"SOLDAN INTERNATIONAL STUDIES",1730,182,23,90.11,16.5
"46",2013,"SUMNER HIGH",1800,128,0,32.81,14
"47",2013,"VASHON HIGH",1830,176,0,27.27,15
"48",2013,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,77,13,92.21,17.4
"49",2014,"MILLER CAREER ACADEMY",1100,173,10,86.13,15.8
"50",2014,"GATEWAY HIGH",1220,265,31,96.23,16.3
"51",2014,"BEAUMONT CTE HIGH SCHOOL",1250,68,4,48.53,16.2
"52",2014,"CLEVELAND NJROTC ACADEMY",1440,54,7,98.15,16.2
"53",2014,"CARNAHAN SCH. OF THE FUTURE",1500,74,12,105.41,17
"54",2014,"TRANSPORTATION AND LAW",1540,48,1,60.42,15
"55",2014,"THE COLLEGE PREPARATORY HIGH",1550,79,0,75.95,14.2
"56",2014,"METRO HIGH",1560,60,58,108.33,25.1
"57",2014,"MCKINLEY CLASS. LEADERSHIP AC.",1570,18,15,111.11,22.3
"58",2014,"ROOSEVELT HIGH",1680,184,3,50,14.6
"59",2014,"SOLDAN INTERNATIONAL STUDIES",1730,122,15,91.8,16.5
"60",2014,"SUMNER HIGH",1800,138,2,55.07,14.1
"61",2014,"VASHON HIGH",1830,201,2,45.77,13.9
"62",2014,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,74,12,101.35,16.9
"63",2015,"MILLER CAREER ACADEMY",1100,186,26,99.46,16.9
"64",2015,"GATEWAY HIGH",1220,233,31,110.73,16.1
"65",2015,"BEAUMONT CTE HIGH SCHOOL",1250,157,1,0.64,21
"66",2015,"CLEVELAND NJROTC ACADEMY",1440,69,14,78.26,17.2
"67",2015,"CARNAHAN SCH. OF THE FUTURE",1500,100,21,108,17.2
"68",2015,"TRANSPORTATION AND LAW",1540,53,1,60.38,15.4
"69",2015,"THE COLLEGE PREPARATORY HIGH",1550,77,2,127.27,13.7
"70",2015,"METRO HIGH",1560,69,71,104.35,26.3
"71",2015,"MCKINLEY CLASS. LEADERSHIP AC.",1570,35,30,105.71,23.1
"72",2015,"ROOSEVELT HIGH",1680,130,5,63.85,15.3
"73",2015,"SOLDAN INTERNATIONAL STUDIES",1730,106,9,100.94,16.1
"74",2015,"SUMNER HIGH",1800,83,0,100,14.1
"75",2015,"VASHON HIGH",1830,174,1,64.94,14.2
"76",2015,"CENTRAL VISUAL/PERF. ARTS HIGH",1860,83,19,106.02,16.9
