"","X","Year","NHD_NUM","Homicid","Assault","Sx_Offn","Cntrbnd","Larceny","Vandlsm","Othr_Cr","Ttl_Crm"
"624",624,2015,0,0,14,19,7,46,4,825,915
"625",625,2015,1,3,178,19,79,756,118,291,1444
"626",626,2015,2,1,84,8,62,271,74,101,601
"627",627,2015,3,0,20,0,7,176,23,47,273
"628",628,2015,4,0,43,5,23,252,30,146,499
"629",629,2015,5,8,187,9,50,541,114,320,1229
"630",630,2015,6,0,27,2,15,225,26,101,396
"631",631,2015,7,0,43,0,16,306,51,119,535
"632",632,2015,8,1,16,6,15,238,22,95,393
"633",633,2015,9,0,45,5,8,252,50,180,540
"634",634,2015,10,0,21,1,6,161,14,78,281
"635",635,2015,11,3,8,1,11,77,22,54,176
"636",636,2015,12,0,29,0,12,141,19,79,280
"637",637,2015,13,0,36,5,16,206,25,149,437
"638",638,2015,14,0,54,2,22,263,34,118,493
"639",639,2015,15,1,169,7,86,845,155,390,1653
"640",640,2015,16,9,487,51,276,1220,251,496,2790
"641",641,2015,17,3,85,10,56,307,44,126,631
"642",642,2015,18,3,112,8,22,223,46,113,527
"643",643,2015,19,0,211,19,87,617,121,204,1259
"644",644,2015,20,0,35,2,18,82,14,61,212
"645",645,2015,21,0,54,10,81,334,69,172,720
"646",646,2015,22,0,56,2,15,311,39,75,498
"647",647,2015,23,0,35,0,11,140,24,61,271
"648",648,2015,24,3,56,5,23,154,47,90,378
"649",649,2015,25,0,121,13,56,587,106,266,1149
"650",650,2015,26,1,6,0,1,77,9,33,127
"651",651,2015,27,0,26,2,14,291,41,73,447
"652",652,2015,28,1,11,3,4,75,14,31,139
"653",653,2015,29,0,34,1,6,83,17,25,166
"654",654,2015,30,2,131,7,37,355,93,168,793
"655",655,2015,31,0,46,4,11,203,45,137,446
"656",656,2015,32,0,11,1,2,92,18,46,170
"657",657,2015,33,3,121,3,25,154,92,185,583
"658",658,2015,34,1,53,8,14,109,36,80,301
"659",659,2015,35,0,313,65,293,1265,175,1093,3204
"660",660,2015,36,3,280,78,247,888,129,545,2170
"661",661,2015,37,0,121,19,15,437,84,260,936
"662",662,2015,38,0,170,13,32,1163,131,428,1937
"663",663,2015,39,0,70,1,12,289,49,123,544
"664",664,2015,40,0,3,0,3,43,3,39,91
"665",665,2015,41,0,19,0,3,80,8,68,178
"666",666,2015,42,0,21,3,33,99,11,46,213
"667",667,2015,43,0,16,1,2,86,14,49,168
"668",668,2015,44,0,12,1,4,60,17,67,161
"669",669,2015,45,0,0,0,0,30,5,10,45
"670",670,2015,46,0,56,6,3,256,37,78,436
"671",671,2015,47,0,36,4,8,192,32,40,312
"672",672,2015,48,6,158,9,28,442,93,218,954
"673",673,2015,49,0,23,1,3,53,16,23,119
"674",674,2015,50,15,233,11,104,540,121,323,1347
"675",675,2015,51,3,106,7,42,189,66,124,537
"676",676,2015,52,6,127,7,24,218,67,93,542
"677",677,2015,53,4,77,6,32,155,25,83,382
"678",678,2015,54,1,56,5,14,92,19,57,244
"679",679,2015,55,6,95,15,29,193,56,112,506
"680",680,2015,56,18,189,7,65,344,87,166,876
"681",681,2015,57,2,93,1,23,149,45,52,365
"682",682,2015,58,1,65,2,11,140,39,54,312
"683",683,2015,59,14,209,12,118,455,100,263,1171
"684",684,2015,60,2,78,7,23,177,32,74,393
"685",685,2015,61,1,124,7,43,165,81,125,546
"686",686,2015,62,0,71,3,26,118,51,88,357
"687",687,2015,63,2,70,6,25,129,28,53,313
"688",688,2015,64,1,32,3,35,176,35,97,379
"689",689,2015,65,5,133,4,24,226,64,109,565
"690",690,2015,66,4,65,2,38,114,26,73,322
"691",691,2015,67,2,65,5,38,167,32,90,399
"692",692,2015,68,2,142,8,43,281,86,133,695
"693",693,2015,69,9,160,4,70,438,106,200,987
"694",694,2015,70,4,61,1,36,129,29,142,402
"695",695,2015,71,8,99,6,31,208,53,168,573
"696",696,2015,72,3,116,8,38,299,67,169,700
"697",697,2015,73,4,90,3,24,188,63,96,468
"698",698,2015,74,11,205,8,73,573,114,267,1251
"699",699,2015,75,0,9,0,12,64,14,36,135
"700",700,2015,76,4,99,3,49,217,43,124,539
"701",701,2015,77,4,85,3,14,339,61,109,615
"702",702,2015,78,4,106,6,37,248,54,122,577
"703",703,2015,79,1,52,1,23,95,18,75,265
"704",704,2015,80,1,7,2,1,35,7,6,59
"705",705,2015,81,0,0,0,1,26,2,16,45
"706",706,2015,82,0,26,2,3,202,31,45,309
"707",707,2015,83,2,8,0,2,8,3,3,26
"708",708,2015,84,0,8,0,1,8,0,19,36
"709",709,2015,85,0,4,1,4,3,1,4,17
"710",710,2015,86,0,6,0,4,5,1,14,30
"711",711,2015,87,0,0,0,0,4,0,4,8
"712",712,2015,88,0,4,3,6,36,2,17,68
